Country,Region,Year,Happiness Rank,Happiness Score,Economy,Family,Freedom,Health,Generosity,Trust
Uganda,Sub-Saharan Africa,2015,141,3.931,0.21102,1.13299,0.45727,0.33861,0.29066,0.07267
Senegal,Sub-Saharan Africa,2015,142,3.904,0.36498,0.97619,0.36772,0.4354,0.20843000000000006,0.10713
Gabon,Sub-Saharan Africa,2015,143,3.896,1.06024,0.90528,0.31914000000000003,0.43372,0.06822,0.11091
Niger,Sub-Saharan Africa,2015,144,3.845,0.0694,0.77265,0.47692,0.29707,0.19387,0.15639
Cambodia,Southeastern Asia,2015,145,3.819,0.46038,0.62736,0.66246,0.61114,0.40359,0.07247
Tanzania,Sub-Saharan Africa,2015,146,3.781,0.2852,1.00268,0.32878,0.38215,0.34377,0.057470000000000014
Madagascar,Sub-Saharan Africa,2015,147,3.681,0.20824,0.66801,0.19184,0.46721,0.21333,0.08123999999999999
Central African Republic,Sub-Saharan Africa,2015,148,3.678,0.0785,0.0,0.48879,0.06699,0.23835,0.08288999999999999
Chad,Sub-Saharan Africa,2015,149,3.667,0.34193,0.76062,0.23501,0.1501,0.18386,0.05269
Guinea,Sub-Saharan Africa,2015,150,3.656,0.17417,0.46475,0.37725,0.24009,0.28657,0.12139
Ivory Coast,Sub-Saharan Africa,2015,151,3.655,0.46534,0.77115,0.46866,0.15185,0.20165,0.17922000000000002
Burkina Faso,Sub-Saharan Africa,2015,152,3.587,0.25812,0.85188,0.39493,0.27125,0.21747,0.12832000000000002
Afghanistan,Southern Asia,2015,153,3.575,0.31982,0.30285,0.23414,0.30335,0.3651,0.09719
Rwanda,Sub-Saharan Africa,2015,154,3.465,0.22208000000000006,0.7737,0.59201,0.42864,0.22628,0.55191
Benin,Sub-Saharan Africa,2015,155,3.34,0.28665,0.35386,0.4845,0.3191,0.1826,0.0801
Syria,Middle East and Northern Africa,2015,156,3.006,0.6632,0.47489,0.15684,0.7219300000000001,0.47179,0.18906
Burundi,Sub-Saharan Africa,2015,157,2.905,0.0153,0.41587,0.1185,0.22396,0.19727,0.10062
Togo,Sub-Saharan Africa,2015,158,2.839,0.20868,0.13995,0.36453,0.28443,0.16681,0.10731
Denmark,Western Europe,2016,1,7.526,1.4417799999999998,1.16374,0.5794100000000001,0.79504,0.36171,0.44453
Switzerland,Western Europe,2016,2,7.508999999999999,1.52733,1.14524,0.58557,0.86303,0.28083,0.41203
Iceland,Western Europe,2016,3,7.501,1.42666,1.18326,0.56624,0.8673299999999999,0.47678,0.14975
Norway,Western Europe,2016,4,7.497999999999998,1.57744,1.1269,0.59609,0.79579,0.37895,0.35776
Finland,Western Europe,2016,5,7.4129999999999985,1.40598,1.13464,0.57104,0.81091,0.25492,0.41004
Canada,North America,2016,6,7.404,1.44015,1.0961,0.5737,0.8276,0.44834,0.31329
Netherlands,Western Europe,2016,7,7.338999999999999,1.46468,1.02912,0.55211,0.8123100000000001,0.47416,0.29927
New Zealand,Australia and New Zealand,2016,8,7.334,1.36066,1.17278,0.5814699999999999,0.83096,0.4940100000000001,0.41904
Australia,Australia and New Zealand,2016,9,7.313,1.44443,1.10476,0.5683699999999999,0.8512,0.47407,0.32331
Sweden,Western Europe,2016,10,7.291,1.45181,1.08764,0.58218,0.83121,0.38254,0.40867
Israel,Middle East and Northern Africa,2016,11,7.267,1.33766,0.99537,0.36432,0.8491700000000001,0.32288,0.08728
Austria,Western Europe,2016,12,7.119,1.45038,1.0838299999999998,0.54355,0.80565,0.32865,0.21348000000000006
United States,North America,2016,13,7.104,1.50796,1.04782,0.48163,0.779,0.41077,0.14868
Costa Rica,Latin America and Caribbean,2016,14,7.0870000000000015,1.06879,1.02152,0.55225,0.76146,0.22553,0.10547
Puerto Rico,Latin America and Caribbean,2016,15,7.039,1.35943,1.08113,0.46823,0.77758,0.22202,0.12275
Germany,Western Europe,2016,16,6.994,1.44787,1.09774,0.53466,0.81487,0.30452,0.28551
