Country,Region,Year,Happiness Rank,Happiness Score,Economy,Family,Freedom,Health,Generosity,Trust
Iraq,Middle East and Northern Africa,2017,117,4.49700021743774,1.1027104854583702,0.978613197803497,0.288555532693863,0.501180469989777,0.19963726401329,0.107215754687786
Gabon,Sub-Saharan Africa,2017,118,4.46500015258789,1.1982102394104,1.1556202173233,0.31232857704162603,0.35657858848571794,0.0437853783369064,0.0760467872023582
Ethiopia,Sub-Saharan Africa,2017,119,4.46000003814697,0.339233845472336,0.8646692037582401,0.408842742443085,0.353409707546234,0.31265074014663696,0.16545571386814098
Sri Lanka,Southern Asia,2017,120,4.44000005722046,1.00985014438629,1.25997638702393,0.561213254928589,0.625130832195282,0.490863561630249,0.0736539661884308
Armenia,Central and Eastern Europe,2017,121,4.37599992752075,0.900596737861633,1.00748372077942,0.198303267359734,0.637524425983429,0.0834880918264389,0.0266744215041399
India,Southern Asia,2017,122,4.31500005722046,0.7922212481498722,0.754372596740723,0.469987004995346,0.455427616834641,0.23153848946094505,0.0922268852591515
Mauritania,Sub-Saharan Africa,2017,123,4.29199981689453,0.6484572887420649,1.2720308303833,0.0960980430245399,0.285349279642105,0.201870024204254,0.136957004666328
Congo (Brazzaville),Sub-Saharan Africa,2017,124,4.29099988937378,0.8089642524719242,0.8320443630218509,0.4350258708000179,0.28995743393898,0.12085212767124197,0.0796181336045265
Georgia,Central and Eastern Europe,2017,125,4.28599977493286,0.950612664222717,0.57061493396759,0.309410035610199,0.649546980857849,0.0540088154375553,0.25166663527488703
Congo (Kinshasa),Sub-Saharan Africa,2017,126,4.280000209808351,0.0921023488044739,1.22902345657349,0.235961347818375,0.191407024860382,0.246455833315849,0.0602413564920425
Mali,Sub-Saharan Africa,2017,127,4.19000005722046,0.476180493831635,1.2814733982086202,0.306613743305206,0.16936567425727805,0.183354198932648,0.10497024655342098
Ivory Coast,Sub-Saharan Africa,2017,128,4.17999982833862,0.6030489206314089,0.904780030250549,0.4477061927318571,0.0486421696841717,0.201237469911575,0.130061775445938
Cambodia,Southeastern Asia,2017,129,4.1680002212524405,0.6017650961875921,1.00623834133148,0.633375823497772,0.429783403873444,0.385922968387604,0.0681059509515762
Sudan,Sub-Saharan Africa,2017,130,4.138999938964839,0.6595166921615601,1.21400856971741,0.0149958552792668,0.290920823812485,0.182317450642586,0.089847519993782
Ghana,Sub-Saharan Africa,2017,131,4.11999988555908,0.667224824428558,0.873664736747742,0.423026293516159,0.29563772678375205,0.25692394375801103,0.0253363698720932
Ukraine,Central and Eastern Europe,2017,132,4.09600019454956,0.89465194940567,1.39453756809235,0.122974775731564,0.575903952121735,0.270061463117599,0.0230294708162546
Uganda,Sub-Saharan Africa,2017,133,4.08099985122681,0.381430715322495,1.12982773780823,0.443185955286026,0.21763260662555706,0.32576605677604703,0.057069718837738
Burkina Faso,Sub-Saharan Africa,2017,134,4.03200006484985,0.3502277135849001,1.04328000545502,0.32436785101890603,0.21584425866603896,0.250864684581757,0.12032810598611805
Niger,Sub-Saharan Africa,2017,135,4.02799987792969,0.16192533075809498,0.993025004863739,0.36365869641304,0.26850500702858,0.228673845529556,0.13857294619083402
Malawi,Sub-Saharan Africa,2017,136,3.97000002861023,0.233442038297653,0.5125688314437871,0.466914653778076,0.315089583396912,0.28717046976089505,0.0727116540074348
Chad,Sub-Saharan Africa,2017,137,3.9360001087188703,0.43801298737525896,0.953855872154236,0.16234202682972002,0.0411347150802612,0.216113850474358,0.0535818822681904
Zimbabwe,Sub-Saharan Africa,2017,138,3.875,0.3758465349674221,1.08309590816498,0.336384207010269,0.19676375389099104,0.189143493771553,0.0953753814101219
Lesotho,Sub-Saharan Africa,2017,139,3.80800008773804,0.521021246910095,1.19009518623352,0.390661299228668,0.0,0.157497271895409,0.119094640016556
Angola,Sub-Saharan Africa,2017,140,3.79500007629395,0.8584281802177429,1.10441195964813,0.0,0.0498686656355858,0.09792649000883097,0.0697203353047371
Afghanistan,Southern Asia,2017,141,3.79399991035461,0.401477217674255,0.581543326377869,0.106179520487785,0.18074677884578694,0.311870932579041,0.0611578300595284
Botswana,Sub-Saharan Africa,2017,142,3.7660000324249294,1.12209415435791,1.22155499458313,0.505196332931519,0.34175550937652605,0.0993484482169151,0.0985831990838051
Benin,Sub-Saharan Africa,2017,143,3.65700006484985,0.43108540773391707,0.435299843549728,0.42596277594566295,0.20993021130561804,0.207948461174965,0.0609290152788162
Madagascar,Sub-Saharan Africa,2017,144,3.64400005340576,0.305808693170547,0.9130203723907472,0.18919676542282104,0.375223308801651,0.208732530474663,0.0672319754958153
Haiti,Latin America and Caribbean,2017,145,3.6029999256134,0.368610262870789,0.640449821949005,0.0303698573261499,0.277321130037308,0.4892037808895109,0.0998721495270729
Yemen,Middle East and Northern Africa,2017,146,3.59299993515015,0.5916834473609921,0.93538224697113,0.24946372210979506,0.310080915689468,0.104125209152699,0.0567674227058887
South Sudan,Sub-Saharan Africa,2017,147,3.5910000801086404,0.39724862575531,0.601323127746582,0.147062435746193,0.163486003875732,0.285670816898346,0.116793513298035
Liberia,Sub-Saharan Africa,2017,148,3.532999992370609,0.119041793048382,0.8721179366111759,0.33288118243217496,0.229918196797371,0.26654988527298,0.0389482490718365
Guinea,Sub-Saharan Africa,2017,149,3.50699996948242,0.24454993009567305,0.7912446856498722,0.348587512969971,0.194129139184952,0.264815092086792,0.110937617719173
Togo,Sub-Saharan Africa,2017,150,3.4949998855590803,0.3054447174072269,0.4318825304508211,0.38042613863945,0.247105568647385,0.19689615070819896,0.0956650152802467
Rwanda,Sub-Saharan Africa,2017,151,3.47099995613098,0.368745893239975,0.945707023143768,0.5818438529968261,0.326424807310104,0.2527560293674469,0.455220013856888
Syria,Middle East and Northern Africa,2017,152,3.46199989318848,0.777153134346008,0.396102607250214,0.0815394446253777,0.5005333423614501,0.493663728237152,0.15134713053703305
Tanzania,Sub-Saharan Africa,2017,153,3.34899997711182,0.511135876178741,1.04198980331421,0.390017777681351,0.364509284496307,0.354256361722946,0.0660351067781448
Burundi,Sub-Saharan Africa,2017,154,2.90499997138977,0.091622568666935,0.629793584346771,0.0599007532000542,0.151610791683197,0.20443518459796894,0.0841479450464249
Central African Republic,Sub-Saharan Africa,2017,155,2.69300007820129,0.0,0.0,0.270842045545578,0.0187726859003305,0.280876487493515,0.0565650761127472
